时间,风速(m/s),温度(K),气压(Pa),发电量(kW),温度(°C),气压(kPa),转速(rpm),空气密度(kg/m³),功率密度(W/m²)
2025-07-07 16:06:08.521547+08:00,7.80697,267.57,98405.7,2091.9720005902946,-5.579999999999984,98.4057,5.862938285714286,1.2810015164539212,165.16437711908216
2025-07-07 17:06:08.521547+08:00,7.86199,267.55,98382.7,2131.311219195269,-5.599999999999966,98.3827,5.923722285714285,1.280797848245763,168.27026837164607
2025-07-07 18:06:08.521547+08:00,8.59899,267.54,98362.9,2661.4206611544364,-5.609999999999957,98.3629,6.737931809523809,1.2805879449088453,210.1232165762227
2025-07-07 19:06:08.521547+08:00,7.89466,267.56,98340.9,2154.6702208641987,-5.589999999999975,98.34089999999999,5.959814857142857,1.2802058245941923,170.11449714702343
2025-07-07 20:06:08.521547+08:00,7.57084,267.61,98336.8,1923.1393999143102,-5.539999999999964,98.3368,5.602070857142857,1.2799132681514274,151.83478603460526
2025-07-07 21:06:08.521547+08:00,7.51286,267.55,98334.2,1881.683785688276,-5.599999999999966,98.3342,5.538016761904761,1.2801664496803657,148.56180212287035
2025-07-07 22:06:08.521547+08:00,7.73709,267.52,98324.6,2042.0079039687826,-5.6299999999999955,98.3246,5.785737523809524,1.2801850171405527,161.21963555730164
2025-07-07 23:06:08.521547+08:00,8.22162,267.46,98345.1,2388.4461371688603,-5.689999999999998,98.3451,6.321027809523809,1.280739173998108,188.57146195869734
2025-07-08 00:06:08.521547+08:00,7.76631,267.45,98394.9,2062.900160741544,-5.699999999999989,98.39489999999999,5.818018666666666,1.2814356261084943,162.86911106438842
2025-07-08 01:06:08.521547+08:00,7.74199,267.6,98446.6,2045.5113967198615,-5.5499999999999545,98.4466,5.791150857142857,1.2813902646900945,161.4962416484969
2025-07-08 02:06:08.521547+08:00,7.94384,267.88,98486.0,2189.8338481087035,-5.269999999999982,98.486,6.014147047619047,1.2805631971187315,172.89071909906073
2025-07-08 03:06:08.521547+08:00,7.75816,268.19,98568.0,2057.072922798423,-4.9599999999999795,98.568,5.8090148571428575,1.2801479697697125,162.40904174944126
2025-07-08 04:06:08.521547+08:00,8.36008,268.46,98609.2,2488.012178279539,-4.689999999999998,98.6092,6.473993142857143,1.27939502353465,196.43235261957517
2025-07-08 05:06:08.521547+08:00,7.95331,268.53,98716.8,2196.604884099055,-4.6200000000000045,98.7168,6.024609142857143,1.2804571940711613,173.42530270796266
2025-07-08 06:06:08.521547+08:00,7.98204,268.48,98834.5,2217.1467915967078,-4.669999999999959,98.8345,6.056348952380952,1.282222631144788,175.04711760592988
2025-07-08 07:06:08.521547+08:00,7.82334,268.35,98911.4,2103.6765263729812,-4.7999999999999545,98.9114,5.881023238095238,1.283841933790855,166.08846726456508
2025-07-08 08:06:08.521547+08:00,7.75725,268.15,98999.0,2056.42227414465,-5.0,98.999,5.808009523809524,1.285937360059538,162.35767204679064
2025-07-08 09:06:08.521547+08:00,6.54744,268.07,99083.0,1254.8967412165025,-5.079999999999984,99.083,4.471457523809524,1.2874125567284713,99.07600988603369
2025-07-08 10:06:08.521547+08:00,6.37008,267.9,99166.6,1154.9121033476847,-5.25,99.1666,4.275516952380952,1.289316430838615,91.18207037325791
2025-07-08 11:06:08.521547+08:00,6.53155,267.75,99249.6,1244.740403897195,-5.399999999999977,99.2496,4.453902857142857,1.2911184675890557,98.27415157880901
